kind,feature_set,layer,representation,roc_auc,accuracy,f1,precision,recall,inverse_auc,train_size,test_size,train_pos,train_neg,test_pos,test_neg,mean_prob_y1,mean_prob_y0
hidden_state_probe,hidden_state,-10,last_token,0.8535762483130904,0.88,0.4,0.4375,0.3684210526315789,0.14642375168690958,413,175,44,369,19,156,0.4092743312066435,0.059866464854366135
hidden_state_probe,hidden_state,-10,mean_pool,0.6676788124156545,0.8685714285714285,0.25806451612903225,0.3333333333333333,0.21052631578947367,0.3323211875843455,413,175,44,369,19,156,0.16438862789874614,0.06822318709841986
hidden_state_probe,hidden_state,-8,last_token,0.8265856950067476,0.8685714285714285,0.43902439024390244,0.4090909090909091,0.47368421052631576,0.1734143049932524,413,175,44,369,19,156,0.4639038844804377,0.0769214126208987
hidden_state_probe,hidden_state,-8,mean_pool,0.6680161943319838,0.8628571428571429,0.25,0.3076923076923077,0.21052631578947367,0.3319838056680162,413,175,44,369,19,156,0.18338463120905696,0.06697705079643071
hidden_state_probe,hidden_state,-6,last_token,0.7968960863697706,0.88,0.43243243243243246,0.4444444444444444,0.42105263157894735,0.2031039136302294,413,175,44,369,19,156,0.42781770276603576,0.08083796935672861
hidden_state_probe,hidden_state,-6,mean_pool,0.6815114709851552,0.8628571428571429,0.25,0.3076923076923077,0.21052631578947367,0.3184885290148448,413,175,44,369,19,156,0.1731276453310153,0.0696919900047446
hidden_state_probe,hidden_state,-4,last_token,0.786774628879892,0.8971428571428571,0.4375,0.5384615384615384,0.3684210526315789,0.21322537112010798,413,175,44,369,19,156,0.3814803389647126,0.05740485242037863
hidden_state_probe,hidden_state,-4,mean_pool,0.6713900134952766,0.8685714285714285,0.25806451612903225,0.3333333333333333,0.21052631578947367,0.3286099865047234,413,175,44,369,19,156,0.19070213211642656,0.06949365318628017
hidden_state_probe,hidden_state,-2,last_token,0.8326585695006747,0.8914285714285715,0.45714285714285713,0.5,0.42105263157894735,0.16734143049932526,413,175,44,369,19,156,0.36937521525022327,0.06219862609060916
hidden_state_probe,hidden_state,-2,mean_pool,0.6710526315789473,0.8685714285714285,0.25806451612903225,0.3333333333333333,0.21052631578947367,0.32894736842105265,413,175,44,369,19,156,0.19159954383831904,0.06364381172879688
hidden_state_probe,hidden_state,-1,last_token,0.7813765182186234,0.8685714285714285,0.34285714285714286,0.375,0.3157894736842105,0.21862348178137658,413,175,44,369,19,156,0.28393029505714346,0.08009951016188041
hidden_state_probe,hidden_state,-1,mean_pool,0.6953441295546559,0.8857142857142857,0.2857142857142857,0.4444444444444444,0.21052631578947367,0.30465587044534415,413,175,44,369,19,156,0.21543889198404753,0.04746767050321214
