kind,feature_set,layer,representation,roc_auc,accuracy,f1,precision,recall,inverse_auc,train_size,test_size,train_pos,train_neg,test_pos,test_neg,mean_prob_y1,mean_prob_y0
hidden_state_probe,hidden_state,-10,last_token,0.16666666666666669,0.9428571428571428,0.0,0.0,0.0,0.8333333333333333,77,35,1,76,2,33,1.782435202285699e-05,0.0009337702535679031
hidden_state_probe,hidden_state,-10,mean_pool,0.5,0.9428571428571428,0.0,0.0,0.0,0.5,77,35,1,76,2,33,2.2338080199592425e-05,0.00020764331854667835
hidden_state_probe,hidden_state,-8,last_token,0.19696969696969696,0.9428571428571428,0.0,0.0,0.0,0.803030303030303,77,35,1,76,2,33,1.5774487592319973e-05,0.0001973408664051728
hidden_state_probe,hidden_state,-8,mean_pool,0.6060606060606061,0.9428571428571428,0.0,0.0,0.0,0.3939393939393939,77,35,1,76,2,33,0.00010997235128493454,0.0019687607359145294
hidden_state_probe,hidden_state,-6,last_token,0.34848484848484845,0.9428571428571428,0.0,0.0,0.0,0.6515151515151516,77,35,1,76,2,33,6.982876692629048e-05,0.0005556132735202026
hidden_state_probe,hidden_state,-6,mean_pool,0.5,0.9428571428571428,0.0,0.0,0.0,0.5,77,35,1,76,2,33,1.566364791700977e-05,0.0020959526323464485
hidden_state_probe,hidden_state,-4,last_token,0.5909090909090909,0.9428571428571428,0.0,0.0,0.0,0.40909090909090906,77,35,1,76,2,33,0.00018228056790007394,0.0005066082071176112
hidden_state_probe,hidden_state,-4,mean_pool,0.5151515151515151,0.9428571428571428,0.0,0.0,0.0,0.48484848484848486,77,35,1,76,2,33,5.584707997941475e-05,0.001934296285430764
hidden_state_probe,hidden_state,-2,last_token,0.303030303030303,0.9428571428571428,0.0,0.0,0.0,0.696969696969697,77,35,1,76,2,33,5.29425478259479e-05,0.00034641234390340113
hidden_state_probe,hidden_state,-2,mean_pool,0.5,0.9428571428571428,0.0,0.0,0.0,0.5,77,35,1,76,2,33,1.5767815477986184e-05,0.007405505025357971
hidden_state_probe,hidden_state,-1,last_token,0.18181818181818182,0.9428571428571428,0.0,0.0,0.0,0.8181818181818181,77,35,1,76,2,33,2.899266507294778e-05,0.00020534390205478861
hidden_state_probe,hidden_state,-1,mean_pool,0.5606060606060606,0.9428571428571428,0.0,0.0,0.0,0.43939393939393945,77,35,1,76,2,33,6.101259923587907e-05,0.005670993426782533
