pressure_type,layer,direction,n_pairs,mean_delta_gold_prob,mean_delta_shortcut_prob,mean_delta_margin,top1_changed_rate
teacher_anchor,-10,induction,2,-0.6835,0.7101,-10.3750,1.0000
teacher_anchor,-10,rescue,2,0.7109,-0.8125,11.2500,1.0000
teacher_anchor,-8,induction,2,-0.6974,0.7486,-11.1250,1.0000
teacher_anchor,-8,rescue,2,0.7024,-0.8214,11.5000,1.0000
teacher_anchor,-6,induction,2,-0.7206,0.8084,-14.1250,1.0000
teacher_anchor,-6,rescue,2,0.7332,-0.8410,12.6250,1.0000
